#	X	Y	Z
727	33	30	12	9
728	33	30	9	6
729	33	30	6	3
730	43	39	35	31
731	43	39	31	27
732	43	39	27	23
733	43	39	23	19
734	43	39	19	15
735	43	39	15	11
736	43	39	11	7
737	43	39	7	3
738	39	35	31	27
739	39	35	27	23
740	39	35	23	19
741	39	35	19	15
742	39	35	15	11
743	39	35	11	7
744	39	35	7	3
745	4	5	6	7
746	4	5	7	8
747	4	5	8	9
748	4	5	9	10
749	4	5	10	11
750	4	5	11	12
751	4	5	12	13
752	4	5	13	14
753	4	5	14	15
754	4	5	15	16
755	4	6	8	10
756	4	6	10	12
757	4	6	12	14
758	4	6	14	16
759	4	6	16	18
760	4	6	18	20
761	4	6	20	22
762	4	6	22	24
763	4	6	24	26
764	4	6	26	28
765	4	10	16	22
766	4	10	22	28
767	4	10	28	34
768	4	10	34	40
769	4	10	40	46
770	4	10	46	52
771	4	10	52	58
772	4	10	58	64
773	4	10	64	70
774	47	43	39	35
775	47	43	35	31
776	47	43	31	27
777	47	43	27	23
778	47	43	23	19
779	47	43	19	15
780	47	43	15	11
781	47	43	11	7
782	47	43	7	3
783	69	63	57	51
784	69	63	51	45
785	69	63	45	39
786	69	63	39	33
787	69	63	33	27
788	69	63	27	21
789	69	63	21	15
790	69	63	15	9
791	69	63	9	3
792	63	57	51	45
793	63	57	45	39
794	63	57	39	33
795	63	57	33	27
796	63	57	27	21
797	63	57	21	15
798	63	57	15	9
799	63	57	9	3
800	57	51	45	39
801	57	51	39	33
802	57	51	33	27
803	57	51	27	21
804	57	51	21	15
805	57	51	15	9
806	57	51	9	3
807	4	11	18	25
808	4	11	25	32
809	4	11	32	39
810	4	11	39	46
811	4	11	46	53
812	4	11	53	60
813	4	11	60	67
814	5	9	13	17
815	5	9	17	21
816	5	9	21	25
817	5	9	25	29
818	5	9	29	33
819	5	9	33	37
820	5	9	37	41
821	5	9	41	45
822	5	9	45	49
823	5	9	49	53
824	5	10	15	20
825	5	10	20	25
826	5	10	25	30
827	5	10	30	35
828	5	10	35	40
829	5	10	40	45
830	5	10	45	50
831	5	10	50	55
832	5	10	55	60
833	5	10	60	65
834	5	11	17	23
835	5	11	23	29
836	5	11	29	35
837	5	11	35	41
838	5	11	41	47
839	5	11	47	53
840	5	11	53	59
841	5	11	59	65
842	5	11	65	71
843	52	48	44	40
844	52	48	40	36
845	52	48	36	32
846	52	48	32	28
847	52	48	28	24
848	52	48	24	20
849	52	48	20	16
850	52	48	16	12
851	52	48	12	8
852	52	48	8	4
853	48	44	40	36
854	48	44	36	32
855	48	44	32	28
856	48	44	28	24
857	48	44	24	20
858	48	44	20	16
859	48	44	16	12
860	48	44	12	8
861	48	44	8	4
862	28	26	24	22
863	28	26	22	20
864	28	26	20	18
865	28	26	18	16
866	28	26	16	14
867	28	26	14	12
868	28	26	12	10
869	28	26	10	8
870	28	26	8	6
871	28	26	6	4
872	16	15	14	13
873	16	15	13	12
874	16	15	12	11
875	16	15	11	10
876	16	15	10	9
877	16	15	9	8
878	16	15	8	7
879	16	15	7	6
880	16	15	6	5
881	16	15	5	4
882	49	44	39	34
883	49	44	34	29
884	49	44	29	24
885	49	44	24	19
886	49	44	19	14
887	49	44	14	9
888	49	44	9	4
889	67	60	53	46
890	67	60	46	39
891	67	60	39	32
892	67	60	32	25
893	67	60	25	18
894	67	60	18	11
895	67	60	11	4
896	5	8	11	14
897	5	8	14	17
898	5	8	17	20
899	5	8	20	23
900	5	8	23	26
901	5	8	26	29
902	5	8	29	32
903	5	8	32	35
904	5	8	35	38
905	5	8	38	41
906	40	37	34	31
907	40	37	31	28
908	40	37	28	25
909	40	37	25	22
910	40	37	22	19
911	40	37	19	16
912	40	37	16	13
913	40	37	13	10
914	40	37	10	7
915	40	37	7	4
916	64	59	54	49
917	64	59	49	44
918	64	59	44	39
919	64	59	39	34
920	64	59	34	29
921	64	59	29	24
922	64	59	24	19
923	64	59	19	14
924	64	59	14	9
925	64	59	9	4
926	59	54	49	44
927	59	54	44	39
928	59	54	39	34
929	59	54	34	29
930	59	54	29	24
931	59	54	24	19
932	59	54	19	14
933	59	54	14	9
934	59	54	9	4
935	44	40	36	32
936	44	40	32	28
937	44	40	28	24
938	44	40	24	20
939	44	40	20	16
940	44	40	16	12
941	44	40	12	8
942	44	40	8	4
943	40	36	32	28
944	40	36	28	24
945	40	36	24	20
946	40	36	20	16
947	40	36	16	12
948	40	36	12	8
949	40	36	8	4
950	5	6	7	8
951	5	6	8	9
952	5	6	9	10
953	5	6	10	11
954	5	6	11	12
955	5	6	12	13
956	5	6	13	14
957	5	6	14	15
