A,B,M,N
3,69,53,23
3,69,23,49
3,69,49,27
3,71,7,67
3,71,67,11
3,71,11,63
3,71,63,15
3,71,15,59
3,71,59,19
3,71,19,55
3,71,55,23
3,71,23,51
3,71,51,27
4,5,6,7
4,5,7,8
4,5,8,9
4,5,9,10
4,5,10,11
4,5,11,12
4,5,12,13
4,5,13,14
4,5,14,15
4,5,15,16
15,16,17,18
15,16,18,19
15,16,19,20
15,16,20,21
15,16,21,22
15,16,22,23
15,16,23,24
15,16,24,25
15,16,25,26
15,16,26,27
15,16,14,13
15,16,13,12
15,16,12,11
15,16,11,10
15,16,10,9
15,16,9,8
15,16,8,7
15,16,7,6
15,16,6,5
15,16,5,4
4,6,8,10
4,6,10,12
4,6,12,14
4,6,14,16
4,6,16,18
4,6,18,20
4,6,20,22
4,6,22,24
4,6,24,26
4,6,26,28
26,28,30,32
26,28,32,34
26,28,34,36
26,28,36,38
26,28,38,40
26,28,40,42
26,28,42,44
26,28,44,46
26,28,46,48
26,28,48,50
26,28,24,22
26,28,22,20
26,28,20,18
26,28,18,16
26,28,16,14
26,28,14,12
26,28,12,10
26,28,10,8
26,28,8,6
26,28,6,4
4,7,5,6
4,7,6,10
4,7,10,13
4,7,13,16
4,7,16,19
4,7,19,22
4,7,22,25
4,7,25,28
4,7,28,31
4,7,31,34
31,34,32,33
31,34,33,37
31,34,37,40
31,34,40,43
31,34,43,46
31,34,46,49
31,34,49,52
31,34,52,55
31,34,55,58
31,34,58,61
31,34,33,32
31,34,32,28
31,34,28,25
31,34,25,22
31,34,22,19
31,34,19,16
31,34,16,13
31,34,13,10
31,34,10,7
31,34,7,4
4,8,5,7
4,8,7,12
4,8,12,16
4,8,16,20
4,8,20,24
4,8,24,28
4,8,28,32
4,8,32,36
4,8,36,40
4,8,40,44
40,44,43,41
40,44,41,36
40,44,36,32
40,44,32,28
40,44,28,24
40,44,24,20
40,44,20,16
40,44,16,12
40,44,12,8
40,44,8,4
4,9,5,8
4,9,8,14
4,9,14,19
4,9,19,24
4,9,24,29
4,9,29,34
4,9,34,39
4,9,39,44
4,9,44,49
4,9,49,54
49,54,53,50
49,54,50,44
49,54,44,39
49,54,39,34
49,54,34,29
49,54,29,24
49,54,24,19
49,54,19,14
49,54,14,9
49,54,9,4
4,10,5,9
4,10,9,16
4,10,16,22
4,10,22,28
4,10,28,34
4,10,34,40
4,10,40,46
4,10,46,52
4,10,52,58
4,10,58,64
58,64,63,59
58,64,59,52
58,64,52,46
58,64,46,40
58,64,40,34
58,64,34,28
58,64,28,22
58,64,22,16
58,64,16,10
58,64,10,4
4,40,6,38
4,40,38,8
4,40,8,36
4,40,36,10
4,40,10,34
4,40,34,12
4,40,12,32
4,40,32,14
4,40,14,30
4,40,30,16
4,42,6,40
4,42,40,8
4,42,8,38
4,42,38,10
4,42,10,36
4,42,36,12
4,42,12,34
4,42,34,14
4,42,14,32
4,42,32,16
4,44,7,41
4,44,41,10
4,44,10,38
4,44,38,13
4,44,13,35
4,44,35,16
4,44,16,32
4,44,32,19
4,44,19,29
4,44,29,22
4,46,7,43
4,46,43,10
4,46,10,40
4,46,40,13
4,46,13,37
4,46,37,16
4,46,16,34
4,46,34,19
4,46,19,31
4,46,31,22
4,48,7,45
4,48,45,10
4,48,10,42
4,48,42,13
4,48,13,39
